id,text,author_id,lang,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552240257684218e+18,"Buka web pemerintah buat ngurus sesuatu terus map-nya engga ke-load, udah nyoba di berbagai platform dan pakai aneka cara tetep ga muncul sedang ini isian wajib. Apa ini masuk list blokir kominfo kemarin? Layanan penyedia maps-nya ga terdaftar? Wkwkw piye https://t.co/sZ7C1DGpLS",1264569505.0,id,1.552240257684218e+18,2022-07-27 10:31:31,0,0,1,0,"Open the government's web to take care of something and then the map is not loaded, already tried on various platforms and use various ways but it doesn't appear while this is mandatory. Is this the list of Blocking Kominfo yesterday? Maps provider service is not registered? Wkwkw piye https://t.co/sz7c1dgpls",0.0,0.5
1.552227096105103e+18,Blokir kominfo https://t.co/aVoPUp9O8Y,185285972.0,lt,1.552227096105103e+18,2022-07-27 09:39:13,0,0,1,0,Blokir Komfo https://t.co/avopup9o8y,0.0,0.0
1.552217029679403e+18,"Hari Ini Deadline Daftar PSE Kominfo, Siapa Kena Blokir? https://t.co/ayOmAvLP7e",8.473725428304445e+17,id,1.552217029679403e+18,2022-07-27 08:59:13,0,0,0,0,"Today is the deadline for the PSE Kominfo list, who was blocked? https://t.co/ayomavlp7e",0.0,0.0
1.552216394787332e+18,"Hari Ini Deadline Daftar PSE Kominfo, Siapa Kena Blokir? https://t.co/qISGxLWOz2",1.446381353239523e+18,id,1.552216394787332e+18,2022-07-27 08:56:41,0,0,0,0,"Today is the deadline for the PSE Kominfo list, who was blocked? https://t.co/qisgxlwoz2",0.0,0.0
1.55221346490651e+18,@txtfrombrand ohhh ini alasan kominfo mau blokir soalnya menjadi saksi uwwu mulu,1.499247111459668e+18,id,1.552157315771822e+18,2022-07-27 08:45:03,1,0,3,0,@txtfrombrand ohhh is the reason Kominfo wants to block the problem because he witnesses Uwwu Mulu,0.2,0.1
1.552204924460892e+18,"Kementerian Kominfo memberikan waktu lima hari kerja. Jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku.
@PlateJohnny @kemkominfo https://t.co/nMwnVdmjkK",1.420047542851498e+18,id,1.552204924460892e+18,2022-07-27 08:11:07,0,0,0,0,"The Ministry of Communication and Information provides five working days. If they do not want to register, the blocking mechanism will apply.
@Platejohnny @kemkominfo https://t.co/nmwnvdmjkk",0.0,0.0
1.552196096495337e+18,"Besok, Kominfo Bakal Blokir Twitch, Steam, Dota, Counter-Strike, Minecraft dkk? https://t.co/N4lvrbtiXZ",74501380.0,id,1.552196096495337e+18,2022-07-27 07:36:02,0,1,1,0,"Tomorrow, Kominfo will block Twitch, Steam, Dota, Counter-Strike, Minecraft et al? https://t.co/n4lvrbtixz",0.0,0.0
1.552191552667398e+18,"Kalau mereka tidak mau mendaftar maka mekanisme blokir akan berlaku.

@kemkominfo sebelumnya telah mengeluarkan pernyataan dengan menyebut sanksi dilakukan bertahap, mulai dari teguran, denda administrasi, lalu pemblokiran.
@PlateJohnny @jokowi
https://t.co/6XrcyZmxVl",1.283815459792417e+18,id,1.552191552667398e+18,2022-07-27 07:17:59,0,0,2,0,"If they don't want to register, the blocking mechanism will apply.

@Kemkominfo had previously issued a statement by mentioning sanctions in stages, starting from reprimands, administrative fines, then blocking.
@Platejohnny @jokowi
https://t.co/6xrcyzmxvl",-0.08333333333333333,0.1333333333333333
1.552176668898238e+18,"Duh nyaris saja kena blokir Kominfo, untungnya segera daftar,,, #Roblox di PSE

https://t.co/42rsKiKuCe

#NewsUpdate #Berita #BeritaTerbaru #beritaterkini #BeritaTerpopuler #news #SuaraUmat #suaraumat #suaraumatnews  #beritaviral #roblox #gameonline https://t.co/O8vs1JORAx",1.545679223536624e+18,id,1.552176668898238e+18,2022-07-27 06:18:50,0,0,2,0,"Duh almost got blocking the Ministry of Communication and Information, fortunately immediately register ,,, #Roblox on PSE

https://t.co/42rskikuce

#Newsupdate #berita #beritaterbaru #beritaterkini #beritaterpopular #news #suaraumat #suaraumatnews #BeritaViral #ROBLOX #Gameonline https://t.co/o8vs1Jorax",0.05000000000000002,0.6499999999999999
1.552172485386588e+18,"Rasanya ngelunjak

https://t.co/W0kQR6XTNr https://t.co/RfCRyJY0bK",741061213.0,id,1.552172485386588e+18,2022-07-27 06:02:13,0,0,1,0,"It feels like you support

https://t.co/w0kqr6xtnr https://t.co/rfcryjy0bk",0.0,0.0
1.552158219321344e+18,"@ecwx48 @NarasiNewsroom Bilangnya self-assessment aja pakai tafsiran kita sendiri.. Tapi kalau web kita kena blokir, pasti disuruh ngikut ke tafsirannya kominfo... -_-",1.363369109870703e+18,id,1.551057617354535e+18,2022-07-27 05:05:31,0,1,0,0,"@ecwx48 @narasinewsroom says just self-assessment uses our own interpretation ... but if our website is blocked, it will definitely be told to follow the interpretation of the Ministry of Communication and Information ... -_-",0.3,0.75
1.552140547241849e+18,Kominfo ngeblokir situs banyak yg situs bukan gimana2 jg di blokir. Gimana gak pake VPN jadinya. https://t.co/ef2AWMOQ28,36523461.0,id,1.552140547241849e+18,2022-07-27 03:55:18,0,0,1,0,Kominfo blocks many sites that are not blocked. How not to use VPN. https://t.co/ef2awmoq28,0.5,0.5
1.552001735496851e+18,"Dah oak blokir aja google dan youtube, saya mau kihat seberapa kuat kominfo bisa vertahan tanpa google dan youtube, tinggal kuat²an aja kan 🤣🤣 https://t.co/7xbeYeIvgv",70930196.0,id,1.552001735496851e+18,2022-07-26 18:43:43,0,0,0,0,"Bye just blocked Google and YouTube, I want to see how strong the Communication and Information can be vertahan without Google and YouTube, just stay strong right 🤣🤣 https://t.co/7xbeyeivgv",0.3841269841269841,0.6674603174603174
1.551979854404276e+18,kominfo klo sampe jadi blokir candy crush kayanya bakal jadi musuh ibu ibu se indonesia,1.289864623064154e+18,id,1.551979854404276e+18,2022-07-26 17:16:46,0,0,0,0,Kominfo if it becomes a blocky Candy Crush I think it will be an enemy of mothers in Indonesia,0.0,0.0
