id,text,lang,created_at,conversation_id,author_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553672732130554e+18,"I'm sadly because Kominfo was blocked Steam, Epic Games, Paypal, it gamers and freelance in Indonesia are lost income and career. Please unban it before it's too late!!!😡
#amableannouncement #Indonesia
#esportsindonesia https://t.co/iydTSJWwG0",en,2022-07-31 09:23:39,1.553672732130554e+18,1048180737810226944,0,0,0,0,"I'm sadly because Kominfo was blocked Steam, Epic Games, Paypal, it gamers and freelance in Indonesia are lost income and career. Please unban it before it's too late!!!😡
#amableannouncement #Indonesia
#esportsindonesia https://t.co/iydTSJWwG0",-0.2,0.7
1.553654625688924e+18,"Untuk melindungi data privasi penduduk Indonesia yang terintegrasi di dalam PSE Privat seperti PayPal, Steam, dan Epic Game, bahkan Facebook dan Instagram, maka pemerintah mewajibkan PSE Lingkup Privat untuk melakukan pendaftaran pada Kominfo.",id,2022-07-31 08:11:42,1.553654617019257e+18,188252965,0,2,0,0,"To protect the privacy data of the Indonesian population that is integrated in private PSE such as Paypal, Steam, and Epic Games, even Facebook and Instagram, the government requires a private scope to register with the Ministry of Communication and Information.",0.025,0.4125
1.553646079509672e+18,"Instagram = Facebook, Facebook= Instagram ya emang 1 grup perusahaan sih.
Pengen buka Tumblr, tp banyak puisi-puisi galau.
Aku ndak galau kyak dulu lagi hahahha
Malah yg posting keagamaan makin dikit. 
Gegara Tumblr sempat diblokir Kominfo, user Tumblr generasi awal pada ngilang.",id,2022-07-31 07:37:45,1.553646079509672e+18,317103069,0,0,0,0,"Instagram = Facebook, Facebook = Instagram is indeed 1 company group.
Want to open Tumblr, but a lot of troubled poems.
I wasn't upset again hahahha
In fact, the religious posts are getting little.
The Tumblr Negara was blocked by the Ministry of Communication and Information, the early generation Tumblr user disappeared.",-0.1175,0.51
1.553639735288951e+18,"Semangat buat para hacker yg praktek di situs PSE KOMINFO

Tapi fck you hacker yg ambil alih akun Facebook gue. Ajg lo https://t.co/5ECTP9BkCi",id,2022-07-31 07:12:32,1.553639735288951e+18,85001701,0,1,0,0,"Enthusiasm for hackers who practice on the PSE Kominfo site

But fck you hackers who take over my Facebook account. Ajg Lo https://t.co/5ectp9bkci",0.0,0.0
1.553629614337294e+18,"@Isfunadila1 Habis itu ntar facebook juga di blokir sama kominfo..
Sebelum facebook di blokir kominfo, kominfo harus segera di segel duluan..",id,2022-07-31 06:32:19,1.553551926218064e+18,533389947,0,0,0,0,"@Isfunadila1 After that, Facebook is also blocked by Kominfo ..
Before Facebook was blocked by Kominfo, Kominfo must be immediately sealed first ..",0.25,0.3333333333333333
1.553626148151894e+18,"Done lagi penghapusan akun Facebook √

Butuh jasa hapus akun terpercaya? 
Ke kita aja nder dijamin amanah, pembayaran setelah akun terhapus :) 

• penghapusan tanpa email dan password

• bisa opsi non ID/KTP

• 100% amanah 

--------------

Trending 🔥

#jilbab
#kominfo https://t.co/PbDpGinGjp",id,2022-07-31 06:18:33,1.553626148151894e+18,1191381185387089920,0,0,0,0,"Done Again Elementary Facebook Account √

Need a Trusted Account Delete Service?
Just to us nder guaranteed mandate, payment after the account is deleted :)

• Elimination without email and password

• Can be non -ID/KTP option

• 100% mandate

--------------

Trending 🔥

#hijab
#kominfo https://t.co/pbdpgingjp",0.4,0.95
1.553617956298703e+18,"dan kominfo masih ngelawak

Source: https://t.co/3ZH7FO3rxL https://t.co/P6gL94drVx",id,2022-07-31 05:46:00,1.553231951825637e+18,61411402,0,0,0,0,"and Kominfo is still joking

Source: https://t.co/3zh7fo3rxl https://t.co/p6gl94drvx",0.0,0.0
1.553613882496881e+18,"@PayPal @AskPayPal U stubborn indeed,people now LEAVING #PayPal,coz U dont want to register(different than #Google,#Gmail,#WhatsApp,#Instagram,#Facebook,#Twitter etc)why #Indonesia blocks #PayPal https://t.co/fyOukKwoeh trash indeed!Why so difficult to register?@elonmusk,pls help https://t.co/LvwrCISHA4",en,2022-07-31 05:29:48,1.553613882496881e+18,1546847333945573120,2,0,2,0,"@PayPal @AskPayPal U stubborn indeed,people now LEAVING #PayPal,coz U dont want to register(different than #Google,#Gmail,#WhatsApp,#Instagram,#Facebook,#Twitter etc)why #Indonesia blocks #PayPal https://t.co/fyOukKwoeh trash indeed!Why so difficult to register?@elonmusk,pls help https://t.co/LvwrCISHA4",-0.5,1.0
1.553602956036936e+18,"Belakangan ini ramai dibincangkan berita soal Facebook, Instagram, WhatsApp, hingga TikTok diblokir di Indonesia santer didengar. Banyak media yang membicarakan hal itu lantaran aplikasi ini mempunyai peranan yang sangat penting
 baca selengkapnya https://t.co/wGuUCczEIQ
#kominfo",id,2022-07-31 04:46:23,1.553602956036936e+18,1505225509571284992,0,0,0,0,"Lately, it was widely discussed news about Facebook, Instagram, WhatsApp, until Tiktok was blocked in Indonesia which was widely heard. Many media talk about it because this application has a very important role
 Read more https://t.co/wguucczeiq
#Kominfo",0.17,0.5666666666666667
1.553595163401785e+18,"Open jasa hack akun.
✓ Instagram
✓ Facebook
✓ Twitter
✓ WhatsApp
✓ Gmail
Silahkan hubungi kami.

#KominfoKontol Arab Paypal #BlokirKominfo Steam #WelcomeTREASUREtoTHAILAND #kominfo #zonauang #zonajajan #zonaba #BandungBasah #JakartaxBeauty #surabayalendir #semaranglendir https://t.co/0zEhR3wHJ2",id,2022-07-31 04:15:26,1.553595163401785e+18,1538986831089238016,0,0,0,0,"Open account hack service.
✓ Instagram
✓ Facebook
✓ Twitter
✓ WhatsApp
✓ Gmail
Please contact us.

#Kominfokontol Arabic paypal #Blokirkominfo steam #welcometreasuretothailand #kominfo #zonauang #zonajajan #zonaba #bandungbasah #jakartaxbeauty #urabayalendir #semaranglendir https://t.co/0zehr3Whj2",0.0,0.5
1.553579438691889e+18,"Ini artinya ada penambahan sekitar 35 juta pengguna internet di Indonesia.

Yummyyy…. siapa yang tidak tergiur melihat potensi yang ada di Indonesia?  Bohong besar, jika platform raksasa seperti Google, Facebook, Youtube tidak peduli dengan kebijakan Kominfo ini.",id,2022-07-31 03:12:56,1.553577671485174e+18,1153927344924418048,0,1,1,0,"This means that there is an addition of around 35 million internet users in Indonesia.

Yummyyy ... Who is not tempted to see the potential that exists in Indonesia? Big lie, if a giant platform like Google, Facebook, YouTube does not care about this Kominfo policy.",0.0,0.7000000000000001
1.553556656935809e+18,"5 Platform Digital Tidak Bisa Diakses per Sabtu 30 Juli 2022, Muncul Tren #BlokirKominfo di Twitter
https://t.co/dB7OaB28tr

#kominfo #platform #blokirkominfo 
Kasus Brigadir J #BlokirKominfo Andy Carroll #ReneOut Kafir Uncle Roger #BelaDIY",id,2022-07-31 01:42:25,1.553556656935809e+18,115936810,0,1,3,0,"5 digital platforms cannot be accessed as of Saturday 30 July 2022, there is a #Blokirkominfo trend on Twitter
https://t.co/db7oab28tr

#kominfo #platform #blokirkominfo
Case of brigadir j #blokirkominfo andy carroll #reneout kafir uncle roger #bladiy",0.0,0.0
1.553517931115319e+18,"Dicerai setelah malam pertama gara-gara menghapus riasan. Bantu like dong kak https://t.co/3CpZ7Puo2a
Jilbab #kominfo #TREASURE #JusticeForGaram",id,2022-07-30 23:08:32,1.553517931115319e+18,1376820852092666112,0,0,0,0,"Divorced after the first night because of removing makeup. Help like sis https://t.co/3cpz7puo2a
Hijab #kominfo #treasure #justiceforgaram",0.25,0.3333333333333333
1.553485642222703e+18,"Kominfo Singkawang Kota Juga Di Deface
Lewat di timeline Facebook https://t.co/XHhyZT4mvC https://t.co/6QDvkM0Bx7",id,2022-07-30 21:00:14,1.553485642222703e+18,1538158967234641920,0,0,1,0,"Kominfo Singkawang City is also in Deface
Passing on the Facebook timeline https://t.co/xhhyzt4mvc https://t.co/6qdvkm0bx7",0.0,0.0
1.553427690023174e+18,"Buat yang koar-koar banned kominfo, kritis boleh, goblok jangan :)
https://t.co/CR9k1l9ThL",id,2022-07-30 17:09:57,1.553427690023174e+18,1350918447023022080,0,0,0,0,"For those who are banned banned Kominfo, critical may, don't be stupid :)
https://t.co/cr9k1l9thl",-0.09999999999999998,0.9333333333333332
