id,author_id,lang,created_at,text,conversation_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553341981799027e+18,1.104104608232698e+18,id,2022-07-30 11:29:22,@txtfrombrand serang kominfo fans kpoppppppp!!!!!,1.55320626855451e+18,0,0,0,0,@txtfrombrand Serang Kominfo Kpoppppppp fans !!!!!,0.0,0.0
1.553330171674907e+18,93547108.0,id,2022-07-30 10:42:27,Kali ini aku berada di barisan yg sama dengan fans kpop. Tolong serang akun kominfo. https://t.co/nz7u2HJutV,1.553330171674907e+18,0,0,0,0,This time I was in the same line as Kpop fans. Please attack the Kominfo account. https://t.co/nz7u2hjutv,0.0,0.125
1.553329737707434e+18,1.156104271248544e+18,id,2022-07-30 10:40:43,"kominfo di serang, skandal artis meluncur. emang paling asoy",1.553329737707434e+18,0,0,0,0,"Kominfo in Serang, the artist's scandal slid. It's the most asoy",0.5,0.5
1.55329426256912e+18,1.14940763037841e+18,id,2022-07-30 08:19:45,"ardhito VCS sma laki cuma pengalihan isu, serang terus kominfo joni!",1.55329426256912e+18,0,0,0,0,"Ardhito VCS High School Male Just Differenting the issue, Serang Continue to Communication and Information Joni!",0.08,0.32
1.553280153601851e+18,52760592.0,id,2022-07-30 07:23:41,@selphieusagi @kemkominfo Apa susahnya Paypal ikutin aturan domestik yuridiksi Indonesia.. Paypal sampe diblokir ya karena tidak comply dgn aturan negara kita.. Kalo Paypal comply dengan aturan negara kita yah nggak sampe diblokir... Narasinya dirubah jgn serang Kominfo tapiii seranglah Paypal yg tdk taat,1.553165280133521e+18,0,20,10,4,"@selphieusagi @kemkominfo What is the difficulty of Paypal following the domestic rules of Indonesian jurisdiction ... Paypal until it is blocked because it is not compliant with our country's rules ... if Paypal comply with our country's rules, it doesn't be blocked ... The narration is changed not to attack the Communication and Information disobedient",0.0,0.1
1.55325657846347e+18,1.1542172197079e+18,id,2022-07-30 05:50:01,ayo kalian bersatu serang akun kominfo https://t.co/EDQoSJSeGJ,1.55325657846347e+18,0,0,0,0,"Come on, you unite to attack the Kominfo account https://t.co/edqosjsegj",0.0,0.0
1.553244486813491e+18,1.345890649262866e+18,id,2022-07-30 05:01:58,"@txtfrombrand Sabar bang windahhhh, remaja dan bocil kematian mari kita serang ig kominfo 😡😡😡😡",1.553153893114483e+18,0,0,0,0,"@txtfrombrand Sabar Bang Windahhhh, Teenagers and Leaks of Death Let's Attack IG Kominfo 😡😡😡😡",0.0,0.0
1.553243871479742e+18,1.535191601806742e+18,id,2022-07-30 04:59:31,"#BlokirKominfo Jadi Trending Topic Di Twitter, Netizen Serang Instagram Kominfo: Matiin Rejeki Orang Lo – https://t.co/0g2gvGizBa – https://t.co/Ym6IJo2zGD – #Opsitek https://t.co/vrVLd1z6Hl",1.553243871479742e+18,0,0,0,0,"#Blokirkominfo Becomes Trending Topic on Twitter, Instagram Attack Netizens Kominfo: Matiin Fortune People Lo - https://t.co/0g2gvgizba - https://t.co/ym6ijo2zgd - #opsitek https://t.co/vrvld1l",0.0,0.0
1.553241245731852e+18,1.51107842134596e+18,id,2022-07-30 04:49:05,"""Matiin rejeki orang lo,"" ucap salah satu netizen.

#BlokirKominfo Jadi Trending Topic Di Twitter, Netizen Serang Instagram Kominfo: Matiin Rejeki Orang Lo

https://t.co/D3AA1HBAf2",1.553241245731852e+18,0,0,1,0,"""Turn off your fortune,"" said one netizen.

#Blokirkominfo Becomes Trending Topic on Twitter, Netizens Instagram Kominfo Attack: Turn on the Fortune of Lo People

https://t.co/d3aa1hbaf2",0.0,0.0
1.553233962663047e+18,9.868631085713326e+17,id,2022-07-30 04:20:09,@ilovethispartt serang noh kominfo,1.553228686799024e+18,0,0,0,0,@ilovethispartt Serang Noh Kominfo,0.0,0.0
1.553233570679837e+18,58880688.0,id,2022-07-30 04:18:35,"#BlokirKominfo Jadi Trending Topic Di Twitter, Netizen Serang Instagram Kominfo: Matiin Rejeki Orang Lo https://t.co/Kt1NInngh9",1.553233570679837e+18,1,1,0,0,"#Blokirkominfo Becomes Trending Topic on Twitter, Instagram Serang Netizens Kominfo: Matiin Fortune People Lo https://t.co/kt1ninngh9",0.0,0.0
1.553231789115978e+18,1.441330598321144e+18,id,2022-07-30 04:11:30,"@txtfrombrand Serang aja gmapsnya #kominfokontol 

Kementerian Komunikasi dan Informatika Republik Indonesia (Kominfo) RI
(021) 3452841
https://t.co/CxKyFl6WBJ https://t.co/dgwK7ig2u6",1.553153893114483e+18,0,0,0,0,"@txtfrombrand just attack #kominfokontol

Ministry of Communication and Information of the Republic of Indonesia (Kominfo) RI
(021) 3452841
https://t.co/cxkyfl6wbj https://t.co/dgwk7ig2u6",0.0,0.0
1.553231518507897e+18,1.441330598321144e+18,id,2022-07-30 04:10:26,"Ayo serang gmaps #kominfokontol 

Kementerian Komunikasi dan Informatika Republik Indonesia (Kominfo) RI
(021) 3452841
https://t.co/CxKyFl6WBJ https://t.co/uMza6cSma8",1.553231518507897e+18,1,0,0,0,"Come on Serang Gmaps #kominfokontol

Ministry of Communication and Information of the Republic of Indonesia (Kominfo) RI
(021) 3452841
https://t.co/cxkyfl6wbj https://t.co/umza6csma8",0.0,0.0
1.553231374433534e+18,1.441330598321144e+18,id,2022-07-30 04:09:51,"@koootoshidayo Ayo serang gmaps #kominfokontol 

Kementerian Komunikasi dan Informatika Republik Indonesia (Kominfo) RI
(021) 3452841
https://t.co/CxKyFl6WBJ https://t.co/O3KVSaz7Bw",1.55319058910115e+18,0,0,0,0,"@KOOOTOSHIDAYO AYO SERANG GMAPS #kominfokontol

Ministry of Communication and Information of the Republic of Indonesia (Kominfo) RI
(021) 3452841
https://t.co/cxkyfl6wbj https://t.co/o3kvsaz7bw",0.0,0.0
1.553217965105234e+18,55085740.0,id,2022-07-30 03:16:34,@juniantr Haha I can tell. Udah serang aja rame itu situs kominfo.,1.553183882333536e+18,0,0,0,0,@juniantr haha ​​i can tell. It's just attacking the Communication and Information Site.,0.2,0.3
1.553217783688598e+18,1.47091684817039e+18,id,2022-07-30 03:15:51,@kemkominfo Buzzer kominfo mana nih? Mau gua serang,1.553188847617331e+18,0,0,0,0,@kemkominfo buzzer kominfo where? I want to attack,0.0,0.0
1.5532071524828e+18,2328272328.0,id,2022-07-30 02:33:37,pasukan DDoS dan defacer JCT siap serang kominfo kah? https://t.co/eqrerPSU10,1.5532071524828e+18,0,0,0,0,DDOS troops and JCT defacer are ready to attack the Ministry of Communication and Information? https://t.co/eqrerpsu10,0.2,0.5
1.55319813783332e+18,7.789218470394634e+17,id,2022-07-30 01:57:47,@okasuantaraa Mending kita sm2 serang kominfo,1.553037987050848e+18,0,1,0,0,@okasuantaraa mending we are sm2 attacking Kominfo,0.0,0.0
1.553195801450787e+18,321305571.0,id,2022-07-30 01:48:30,Mari serang kominfo aneh ituuuu,1.553195801450787e+18,0,0,0,0,Let's attack the strange communication communication,-0.05,0.15
1.553195728419582e+18,862027242.0,id,2022-07-30 01:48:13,Siap siap server kominfo di serang 🤣,1.553195728419582e+18,0,0,0,0,Ready for the Ministry of Communication and Information Server in Serang 🤣,0.2,0.5
1.553188555320545e+18,9.407746510677115e+17,id,2022-07-30 01:19:43,"Wellplayed kominfo, siap siap di serang netijen Indonesia https://t.co/VJpRhxMaYs",1.553188555320545e+18,0,0,1,0,"Wellplayed Kominfo, ready to Serang Netijen Indonesia https://t.co/vjprhxmays",0.2,0.5
1.553187514579444e+18,1576677086.0,id,2022-07-30 01:15:34,@Helientez Kominfo hobi bikin repot hidup orang aja... Kalo web kominfo d serang udh selayaknya dn sewajarnya,1.55311879227161e+18,0,0,2,0,@Helientez Kominfo hobby of making a bother to live people ... if the Web Kominfo D Serang Udh should be naturally and naturally,0.1121212121212121,0.4333333333333333
1.553177416742638e+18,1.249285937978204e+18,id,2022-07-30 00:35:27,mampus dh itu kominfo kena serang,1.553177416742638e+18,0,1,0,0,DH DH is the Communication and Information,0.0,0.0
1.553174178765087e+18,1.029882805503721e+18,id,2022-07-30 00:22:35,@justelmu @Fiar098 Serang Kominfo,1.553114194954027e+18,0,0,11,0,@justelmu @fiar098 Serang Kominfo,0.0,0.0
1.553165130233303e+18,84765300.0,id,2022-07-29 23:46:38,"Kalo mau nyerang Kominfo, serang kementrian dan pejabat-pejabatnya aja, jangan serang PNS-PNS kroconya. Kasihan mereka. Udah mah stress gara-gara atasan mereka gak kompeten, mau ngelepas stress buat main game juga gak bisa",1.553165130233303e+18,0,0,1,0,"If you want to attack the Ministry of Communication and Information, attack the Ministry and its officials, don't attack the Kroco PNS PNS. Poor them. Already stressed because their boss is not competent, want to let go of stress to play games either",-0.325,0.6333333333333333
1.55315156505346e+18,2311941913.0,id,2022-07-29 22:52:43,"Tolong para cyber, scammer, hacker silahkan serang Kominfo dong🙏",1.55315156505346e+18,0,0,0,0,"Please cyber, scammer, hackers please attack Kominfo please",0.0,0.0
1.55313886456671e+18,890599375.0,id,2022-07-29 22:02:15,ini serang balik website kominfo aja gak seh njir sebel banget https://t.co/jSFTrvVZEZ,1.55313886456671e+18,0,0,1,0,"This is just a back to the Communication and Information website, it's not really resentful https://t.co/jsFTRVVZEZ",-0.05,0.1
1.553135850921161e+18,1.237820742395281e+18,id,2022-07-29 21:50:17,"@Helientez serang bareng aja kali, ini duit dipaypal gabakalan diganti ama kominfo, padahal duitnya gw ga maling😭",1.55311879227161e+18,1,0,41,0,"@Helientez just attack together, this is the money on the paypal replaced with the Ministry of Communication and Information, even though my money is not thief.",0.0,0.0
