steam_appid,categories,controller_support,developers,dlc,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,price_currency,price_initial,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,positive_rate,metacritic
1387810,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats",full,"Chikon Club,Chryse",,"Casual,Indie,Simulation",False,Soup Pot,windows,Chikon Club,2022,0,"English,French,Italian,German,Spanish - Spain,Japanese,Korean,Spanish - Latin America",game,https://www.chikon.club/,,,https://www.chikon.club/,support@chikon.club,True,0,No user reviews,0,0,0,,
851240,Single-player,,PolyLab Studio,,"Action,Adventure,RPG,Early Access",False,Journey to Valhalla,"windows,mac,linux",Lamina Studios,2018-09-10,0,English,game,,IDR,3999900.0,https://www.laminastudios.com/,laminastudios@gmail.com,False,0,No user reviews,0,0,0,,
1280290,"Single-player,Steam Cloud",,Pcubed VR,,"Action,Indie,Strategy,Early Access",False,Ash of Legends,windows,Pcubed VR,2021-06-23,0,English*,game,,IDR,9599900.0,,rmontino@pcubedvr.com,False,0,1 user reviews,1,0,1,100.0,
1377710,"Single-player,Partial Controller Support",,Verinius,,"Adventure,Indie,RPG",False,Lawmage Academy,"windows,mac",Verinius,2022,0,English,game,,,,,lawmageacademy@gmail.com,True,0,No user reviews,0,0,0,,
360880,Single-player,,"Zeenoh,7 Seals",514630,"Violent,Gore,Adventure,Indie,Simulation",False,Nightfall: Escape,"windows,mac,linux",Zeenoh Inc.,2016-06-28,0,"English*,German,Spanish - Spain,Japanese,Korean,Russian,Simplified Chinese",game,http://www.nightfallhorror.com,IDR,8999900.0,http://www.zeenoh.com,nightfall@zeenoh.com,False,4,Mostly Negative,7,15,22,31.818181818181817,
434480,"Single-player,Steam Trading Cards,Partial Controller Support",,Senshi.Labs,,"Casual,Free to Play,Indie,RPG",True,Mathoria: It All Adds Up,windows,Senshi.Labs,2016-03-30,0,English,game,http://senshi.ph/2014/12/mathoria-it-all-adds-up/,,,http://senshi.ph/2014/12/mathoria-it-all-adds-up/,love@senshi.ph,False,0,2 user reviews,0,2,2,0.0,
364210,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",full,Innomen Team,"1358040,1661770,1217600,1217601","Adventure,Casual,Indie,Strategy",False,Sierra Ops - Space Strategy Visual Novel,windows,Sekai Project,2020-01-16,0,English,game,http://innomenpro.com,IDR,10833400.0,http://innomenpro.com/,innomen.productions@gmail.com,False,7,Positive,27,2,29,93.10344827586206,
1424690,"Single-player,Steam Achievements,Full controller support,Steam Cloud",full,Adrian Corpuz,,"Action,Adventure,Indie,RPG",False,Hatchwell,"windows,mac",Adrian Corpuz,2022-05-12,0,English,game,,IDR,6999900.0,https://www.adeecee.com/,,False,7,Positive,14,0,14,100.0,
985780,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together",full,Keybol Games,,"Action,Adventure,Indie",False,Jack Axe,windows,"Neon Doctrine,Another Indie",2021-10-06,0,"English,Simplified Chinese,Traditional Chinese,Japanese,Russian,French,German,Spanish - Spain",game,,IDR,9599900.0,www.keybolgames.com,bari@keybolgames.com,False,6,Mostly Positive,31,8,39,79.48717948717949,
1521970,Single-player,,Orc Chop Games,,"Indie,RPG,Strategy",False,Goblin Stone,windows,Orc Chop Games,Coming Soon,0,"English*,Simplified Chinese",game,https://www.orcchopgames.com/dev-blog,,,https://www.orcchopgames.com/,support@orcchop.com,True,0,No user reviews,0,0,0,,
1597110,Single-player,,Darius Immanuel D. Guerrero,,"Action,Adventure,Indie",True,DERE EXE: Rebirth of Horror,windows,AppSir Games,2021-04-24,0,English*,game,,,,http://www.appsirgames.com/p/contact.html,hello@appsirgames.com,False,0,No user reviews,0,0,0,,
1902640,Single-player,,Gears2Game,,"Action,Adventure,Casual,RPG",False,Ruins of Majika,windows,Gears2Game,Q2/2023,0,English*,game,,,,,ruinsofmajika@gmail.com,True,0,No user reviews,0,0,0,,
852920,Single-player,,High Leap Studios,,"Action,Adventure,Indie,Early Access",False,Bad Bots Rise,"windows,mac,linux",Lamina Studios,2018-07-06,0,"English,Portuguese",game,,IDR,3999900.0,https://www.laminastudios.com/,laminastudios@gmail.com,False,0,2 user reviews,1,1,2,50.0,
1520440,"Single-player,Full controller support",full,OnionBlaze,,"Adventure,Free to Play,Indie,Simulation",True,Himig,windows,OnionBlaze,2023,0,English,game,,,,,arwynsilva@gmail.com,True,0,No user reviews,0,0,0,,
1427130,Single-player,,PistolizedCannon,,"Action,Adventure,Indie,RPG",False,Elusive World,windows,PistolizedCannon,2021-12-23,0,English*,game,,IDR,3999900.0,https://pistolizedcannon.itch.io/,pistolizedcannon@gmail.com,False,0,1 user reviews,0,1,1,0.0,
1372990,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Partial Controller Support,Remote Play Together",,Ranida Games,,"Sports,Early Access",False,PBA Basketball Slam: Arcade Edition,windows,Ranida Games,2020-08-31,0,English*,game,,IDR,3999900.0,,info@ranidagames.com,False,7,Positive,14,3,17,82.35294117647058,
1704130,"Single-player,Steam Achievements,Full controller support",full,Taishoo,,"Action,Adventure,Indie,RPG",False,Mithos,windows,Taishoo,2021-08-06,0,English,game,,IDR,4899900.0,https://pixelheartproduction.netlify.app/,Pixelheartproductiongaming@gmail.com,False,0,No user reviews,0,0,0,,
1795780,"Single-player,Steam Achievements,Partial Controller Support",,Pantoy Games,,"Action,Adventure,Indie",False,Trance,windows,Pantoy Games,2022-01-18,0,English,game,https://pantoygames.com/,IDR,3999900.0,,pantoygames@gmail.com,False,0,3 user reviews,1,2,3,33.33333333333333,
899270,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards",,Heavenward Games,,"Action,Casual,Indie",False,BlamBox,windows,Heavenward Games,2018-10-02,0,"English,French,Italian,German,Spanish - Spain,Portuguese,Russian,Simplified Chinese",game,http://heavenward.io/,IDR,1749900.0,http://heavenward.io/,aj@heavenward.io,False,7,Positive,28,0,28,100.0,
849740,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud",,Yangyang Mobile,"1173030,1173031,1173050,1503230","Indie,RPG,Simulation",False,Love Esquire - RPG/Dating Sim/Visual Novel,"windows,mac,linux",Yangyang Mobile,2019-10-08,0,"English*,German,Russian,Simplified Chinese,Traditional Chinese",game,https://loveesquire.yangyangmobile.com,IDR,11999900.0,https://loveesquire.yangyangmobile.com,danni@yangyangmobile.com,False,8,Very Positive,764,78,842,90.73634204275535,
682450,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Remote Play Together",,Indigo Entertainment,1290660,"Action,Indie",False,Garrison: Archangel,windows,Indigo Entertainment,2020-05-15,0,English*,game,,IDR,9599900.0,https://discord.gg/jg87sKN,garrison.archangel.feedback@gmail.com,False,8,Very Positive,157,28,185,84.86486486486487,
1785300,Single-player,,Yangyang Mobile,,Indie,False,Saint Maker - Horror Visual Novel,"windows,mac",Yangyang Mobile,2022,0,"English*,Simplified Chinese,Traditional Chinese",game,,,,https://yangyangmobile.com,danni@yangyangmobile.com,True,0,No user reviews,0,0,0,,
1485140,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements",,Bit Planet Games LLC,,"Action,Adventure,Simulation,Early Access",False,Ultrawings 2,windows,Bit Planet Games LLC,2022-04-14,0,"English,French,Italian,German,Spanish - Spain,Japanese,Simplified Chinese,Spanish - Latin America",game,https://bitplanetgames.com,IDR,11999900.0,https://bitplanetgames.com,support@bitplanetgames.com,False,8,Very Positive,51,12,63,80.95238095238095,
1101530,Single-player,,GILATOR,,"Action,Adventure,Indie,Early Access",False,Edge of Time: Rise of the Aeus,windows,GILATOR,TBA,0,English*,game,,,,,edgeoftimegame@gmail.com,True,0,No user reviews,0,0,0,,
941020,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support,Remote Play Together",full,Ranida Games,,"Action,Adventure,Indie,Simulation,Sports,Early Access",False,BAYANI - Fighting Game,windows,Ranida Games,2019-06-11,0,English,game,http://www.bayaniph.com,IDR,9999900.0,http://www.bayaniph.com,support@ranidagames.com,False,8,Very Positive,43,8,51,84.31372549019608,
1475420,Single-player,,Darius Immanuel D. Guerrero,,"Action,Adventure,Indie",False,Puzzling Peaks EXE,windows,AppSir Games,2020-12-02,0,English*,game,,IDR,2499900.0,http://www.appsirgames.com/p/contact.html,hello@appsirgames.com,False,7,Positive,13,0,13,100.0,
1359840,Single-player,,Brick Geek Games,,"Action,Adventure,Casual,Indie",False,Lockdown Hero,windows,Brick Geek Games,2020-07-20,0,English*,game,https://www.facebook.com/brickgeekgames,IDR,3999900.0,https://www.facebook.com/brickgeekgames,brickgeekgames@gmail.com,False,0,2 user reviews,0,2,2,0.0,
560510,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play Together",full,Mike Studios,,"Action,Indie",False,High Noon Revolver,windows,Spaceboy Games,2017-01-25,0,English,game,,IDR,4599900.0,,alehitti@spaceboygames.com,False,7,Positive,9,2,11,81.81818181818183,
511460,"Single-player,Steam Achievements",,Drix Studios,,"Action,Indie",False,Unaided: 1939,windows,Drix Studios,2016-09-29,0,English,game,http://drix-studios.com/,IDR,3999900.0,,info@drix-studios.com,False,5,Mixed,7,5,12,58.333333333333336,
420070,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards",full,"Keybol,Iskander Aminov",,"Action,Adventure,Indie",False,Kill The Plumber,"windows,mac",Tekitown,2015-12-31,0,English,game,http://killtheplumber.com,IDR,4599900.0,http://killtheplumber.com,melai0707@gmail.com,False,5,Mixed,49,25,74,66.21621621621621,
1003370,"Single-player,Steam Cloud",,Dreamlords Digital Inc.,,"Adventure,Indie,RPG,Strategy,Early Access",False,Graywalkers: Purgatory,"windows,linux",Dreamlords Digital Inc.,2020-01-15,0,English*,game,http://www.graywalkers.com,IDR,11999900.0,http://www.dreamlordsdigital.com/support/graywalkers.html,support@dreamlordsdigital.com,False,5,Mixed,7,4,11,63.63636363636363,
1812970,"Single-player,Steam Achievements,Steam Cloud",,Kenisoft Game Studio,,"Indie,RPG,Simulation,Strategy,Early Access",False,Immortal Tactics: War of the Eternals,windows,Kenisoft Game Studio,2022-07-15,0,English*,game,https://kenisoft.com/immortal-tactics-war-of-the-eternals,IDR,9599900.0,https://kenisoft.com/contact,kenn@kenisoft.com,False,8,Very Positive,53,6,59,89.83050847457628,
578540,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud",,Yangyang Mobile,"1554350,1554351","Adventure,Casual,Indie",False,Perfect Gold - Yuri Visual Novel,"windows,mac",Yangyang Mobile,2021-04-19,0,"English*,German,Russian,Simplified Chinese,Traditional Chinese",game,https://yangyangmobile.com,IDR,5999900.0,https://www.yangyangmobile.com/,danni@yangyangmobile.com,False,9,Overwhelmingly Positive,575,8,583,98.62778730703259,
939120,"Single-player,Steam Achievements,Partial Controller Support",,Drix Studios,,"Indie,RPG,Strategy",False,Grand Guilds,windows,Drix Studios,2020-03-26,0,English*,game,https://drix-studios.com/grandguilds/,IDR,9599900.0,,info@drix-studios.com,False,5,Mixed,41,31,72,56.94444444444444,
708850,"Single-player,Steam Achievements",,Chronicle Games,,"Casual,Indie",True,Reverie,"windows,mac",Chronicle Games,2017-10-03,0,English,game,http://chroniclegames.com/,,,http://chroniclegames.com/,support@chroniclegames.com,False,7,Positive,18,4,22,81.81818181818183,
745970,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Workshop",,"Strategy Mill,BL-Logic,Scribble Pad Studios,Polywickstudio","976370,976371,1188360,1935040","Simulation,Strategy",False,Terminal Conflict,"windows,mac,linux",Strategy Mill,2020-09-24,0,English*,game,http://terminalconflict.com,IDR,13999900.0,http://strategy-mill.com/contact.html,support@strategy-mill.com,False,6,Mostly Positive,35,14,49,71.42857142857143,
451700,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards",full,Chronicle Games,,"Adventure,Indie,Strategy",False,Secrets of Deep Earth Shrine,"windows,mac",Chronicle Games,2016-05-03,0,"English,French,German,Spanish - Spain,Portuguese,Portuguese - Brazil,Russian",game,,IDR,849900.0,,support@chroniclegames.com,False,0,7 user reviews,5,2,7,71.42857142857143,
279540,Single-player,,Keybol,,"Casual,Indie",False,Pretentious Game,"windows,mac",Keybol,2014-05-20,0,"English,French,Italian,German,Spanish - Spain",game,https://www.keybolgames.com,IDR,1899900.0,https://www.keybolgames.com,melai0707@gmail.com,False,6,Mostly Positive,95,26,121,78.51239669421489,
672630,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud",,Squeaky Wheel Studio Inc,,"Indie,Simulation,Strategy",False,Academia : School Simulator,"windows,mac",Paradox Interactive,2021-01-28,0,"English,Japanese,German,Russian,French,Spanish - Spain,Simplified Chinese,Italian,Polish,Portuguese - Brazil,Spanish - Latin America,Thai,Turkish",game,http://www.academiagame.com/,IDR,9999900.0,https://support.paradoxplaza.com/,,False,8,Very Positive,1691,311,2002,84.46553446553446,
1041270,Single-player,,Kwan,,"Action,Adventure,Casual,Indie,Early Access",False,Exogenesis ~Perils of Rebirth~,windows,Sekai Project,2019-04-19,0,English,game,,IDR,13999900.0,https://sekaiproject.com/contact/,,False,0,9 user reviews,6,3,9,66.66666666666666,
1281400,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play Together",full,Team Good Knight,,"Action,Casual,Indie,Early Access",False,Good Knight,"windows,linux",Doublethink Games,2021-09-17,0,"English,Simplified Chinese",game,https://www.doublethinkgames.com,IDR,9599900.0,,support@doublethinkgames.com,False,7,Positive,28,0,28,100.0,
1210610,"Single-player,Full controller support,Steam Cloud",full,Nico Tuason,1337950,"Action,Indie",False,Lithium City,windows,Nico Tuason,2020-06-15,0,English,game,http://www.lithiumcitygame.com/,IDR,5999900.0,www.nicotuason.com,nicotuason@gmail.com,False,8,Very Positive,179,20,199,89.9497487437186,
1419130,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play on TV,Remote Play Together",full,Kenisoft Game Studio,,"Action,Adventure,Indie,RPG,Simulation",False,Airstrife: Assault of the Aviators,windows,Kenisoft Game Studio,2021-02-26,0,English*,game,,IDR,14000000.0,http://kenisoft.com,kenn@kenisoft.com,False,7,Positive,12,1,13,92.3076923076923,
1446900,"Single-player,Steam Achievements,Full controller support",full,Winter Crew,,"Action,Adventure,Indie,RPG",False,Fallen Tear: The Ascension,windows,CMD Studios,Coming Soon,0,English*,game,http://fallentearascension.com,,,https://www.fallentearascension.com/,hello@fallentearascension.com,True,0,No user reviews,0,0,0,,
1727740,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support,Remote Play Together",full,"Angrydevs,Ranida Games",,"Action,Casual,Free to Play,Indie",True,Vita Fighters,windows,Ranida Games,TBA,0,English,game,https://twitter.com/angrydevs,,,www.ranidagames.com,support@ranidagames.com,True,0,No user reviews,0,0,0,,
383230,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Remote Play Together",,"Lamina Studios,Mike Studios",463630,"Action,Adventure,Indie,RPG",False,Dungeon Souls,"windows,mac,linux",Plug In Digital,2016-12-02,0,English*,game,http://www.laminastudios.com,IDR,8399900.0,http://www.laminastudios.com/,support@laminastudios.com,False,6,Mostly Positive,1009,288,1297,77.79491133384734,67.0
