id,text,author_id,lang,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552240257684218e+18,"Buka web pemerintah buat ngurus sesuatu terus map-nya engga ke-load, udah nyoba di berbagai platform dan pakai aneka cara tetep ga muncul sedang ini isian wajib. Apa ini masuk list blokir kominfo kemarin? Layanan penyedia maps-nya ga terdaftar? Wkwkw piye https://t.co/sZ7C1DGpLS",1264569505.0,id,1.552240257684218e+18,2022-07-27 10:31:31,0,0,1,0,"buka web pemerintah buat ngurus sesuatu terus map-nya engga ke-load, udah nyoba di berbagai platform dan pakai aneka cara tetep ga muncul sedang ini isian wajib. apa ini masuk list blokir kominfo kemarin? layanan penyedia maps-nya ga terdaftar? wkwkw piye HTTPURL",negative,0.9911054968833923
1.552227096105103e+18,Blokir kominfo https://t.co/aVoPUp9O8Y,185285972.0,lt,1.552227096105103e+18,2022-07-27 09:39:13,0,0,1,0,blokir kominfo HTTPURL,negative,0.9044241309165955
1.552217029679403e+18,"Hari Ini Deadline Daftar PSE Kominfo, Siapa Kena Blokir? https://t.co/ayOmAvLP7e",8.473725428304445e+17,id,1.552217029679403e+18,2022-07-27 08:59:13,0,0,0,0,"hari ini deadline daftar pse kominfo, siapa kena blokir? HTTPURL",neutral,0.8299053907394409
1.552216394787332e+18,"Hari Ini Deadline Daftar PSE Kominfo, Siapa Kena Blokir? https://t.co/qISGxLWOz2",1.446381353239523e+18,id,1.552216394787332e+18,2022-07-27 08:56:41,0,0,0,0,"hari ini deadline daftar pse kominfo, siapa kena blokir? HTTPURL",neutral,0.8299053907394409
1.55221346490651e+18,@txtfrombrand ohhh ini alasan kominfo mau blokir soalnya menjadi saksi uwwu mulu,1.499247111459668e+18,id,1.552157315771822e+18,2022-07-27 08:45:03,1,0,3,0,@USER ohhh ini alasan kominfo mau blokir soalnya menjadi saksi uwwu mulu,negative,0.9952688813209534
1.552204924460892e+18,"Kementerian Kominfo memberikan waktu lima hari kerja. Jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku.
@PlateJohnny @kemkominfo https://t.co/nMwnVdmjkK",1.420047542851498e+18,id,1.552204924460892e+18,2022-07-27 08:11:07,0,0,0,0,kementerian kominfo memberikan waktu lima hari kerja. jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku. @USER @USER HTTPURL,neutral,0.9866505861282349
1.552196096495337e+18,"Besok, Kominfo Bakal Blokir Twitch, Steam, Dota, Counter-Strike, Minecraft dkk? https://t.co/N4lvrbtiXZ",74501380.0,id,1.552196096495337e+18,2022-07-27 07:36:02,0,1,1,0,"besok, kominfo bakal blokir twitch, steam, dota, counter-strike, minecraft dkk? HTTPURL",neutral,0.9952941536903381
1.552191552667398e+18,"Kalau mereka tidak mau mendaftar maka mekanisme blokir akan berlaku.

@kemkominfo sebelumnya telah mengeluarkan pernyataan dengan menyebut sanksi dilakukan bertahap, mulai dari teguran, denda administrasi, lalu pemblokiran.
@PlateJohnny @jokowi
https://t.co/6XrcyZmxVl",1.283815459792417e+18,id,1.552191552667398e+18,2022-07-27 07:17:59,0,0,2,0,"kalau mereka tidak mau mendaftar maka mekanisme blokir akan berlaku. @USER sebelumnya telah mengeluarkan pernyataan dengan menyebut sanksi dilakukan bertahap, mulai dari teguran, denda administrasi, lalu pemblokiran. @USER @USER HTTPURL",neutral,0.6272821426391602
1.552176668898238e+18,"Duh nyaris saja kena blokir Kominfo, untungnya segera daftar,,, #Roblox di PSE

https://t.co/42rsKiKuCe

#NewsUpdate #Berita #BeritaTerbaru #beritaterkini #BeritaTerpopuler #news #SuaraUmat #suaraumat #suaraumatnews  #beritaviral #roblox #gameonline https://t.co/O8vs1JORAx",1.545679223536624e+18,id,1.552176668898238e+18,2022-07-27 06:18:50,0,0,2,0,"duh nyaris saja kena blokir kominfo, untungnya segera daftar,,, #HASHTAG di pse HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL",neutral,0.6002162098884583
1.552172485386588e+18,"Rasanya ngelunjak

https://t.co/W0kQR6XTNr https://t.co/RfCRyJY0bK",741061213.0,id,1.552172485386588e+18,2022-07-27 06:02:13,0,0,1,0,rasanya ngelunjak HTTPURL HTTPURL,negative,0.993497371673584
1.552158219321344e+18,"@ecwx48 @NarasiNewsroom Bilangnya self-assessment aja pakai tafsiran kita sendiri.. Tapi kalau web kita kena blokir, pasti disuruh ngikut ke tafsirannya kominfo... -_-",1.363369109870703e+18,id,1.551057617354535e+18,2022-07-27 05:05:31,0,1,0,0,"@USER @USER bilangnya self-assessment aja pakai tafsiran kita sendiri.. tapi kalau web kita kena blokir, pasti disuruh ngikut ke tafsirannya kominfo... -_-",negative,0.9498006701469421
1.552140547241849e+18,Kominfo ngeblokir situs banyak yg situs bukan gimana2 jg di blokir. Gimana gak pake VPN jadinya. https://t.co/ef2AWMOQ28,36523461.0,id,1.552140547241849e+18,2022-07-27 03:55:18,0,0,1,0,kominfo ngeblokir situs banyak yg situs bukan gimana2 jg di blokir. gimana gak pake vpn jadinya. HTTPURL,negative,0.9921560287475586
1.552001735496851e+18,"Dah oak blokir aja google dan youtube, saya mau kihat seberapa kuat kominfo bisa vertahan tanpa google dan youtube, tinggal kuat²an aja kan 🤣🤣 https://t.co/7xbeYeIvgv",70930196.0,id,1.552001735496851e+18,2022-07-26 18:43:43,0,0,0,0,"dah oak blokir aja google dan youtube, saya mau kihat seberapa kuat kominfo bisa vertahan tanpa google dan youtube, tinggal kuat²an aja kan :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: HTTPURL",neutral,0.8299716114997864
1.551979854404276e+18,kominfo klo sampe jadi blokir candy crush kayanya bakal jadi musuh ibu ibu se indonesia,1.289864623064154e+18,id,1.551979854404276e+18,2022-07-26 17:16:46,0,0,0,0,kominfo klo sampe jadi blokir candy crush kayanya bakal jadi musuh ibu ibu se indonesia,negative,0.9902974963188171
